Year,County,All_Births(Number),First_Births(Number),Births_within_Marriage(Number),Births_outside_Marriage(Number),Average_Age_ of_Mother(Years),Average_Age_of_First_TimeMother(Years)
2000,Waterford City,635,269,377,258,29.1,25.9
2000,Clare,1372,501,1016,356,30.7,27.9
2000,Cork City,1526,648,825,701,29,26
2000,Cork County,4538,1741,3576,962,31.2,28.5
2000,Kerry,1594,632,1156,438,30.5,27.8
2000,Limerick City,857,377,404,453,28.3,25.5
2000,Limerick County,1549,605,1185,364,30.7,27.8
2000,North Tipperary,1006,365,710,296,30.3,27.3
2000,South Tipperary,987,396,646,341,30.1,26.7
2000,Tipperary,,,,,,
2000,Galway City,903,398,577,326,30.1,27.1
2000,Leitrim,295,103,230,65,30.9,27.3
2000,Mayo,1438,545,1112,326,31,28.1
2000,Roscommon,500,194,397,103,30.9,28.1
2000,Sligo,734,306,526,208,30.3,27.5
2000,Galway County,1877,692,1514,363,31.3,28.5
2000,Cavan,714,270,549,165,30.6,27.1
2000,Donegal,1772,628,1318,454,29.9,26.7
2000,Monaghan,627,228,477,150,30.4,27.4
2000,Outside the ROI Total,,,,,,
2001,ROI Total,57854,23440,39740,18114,30.3,27.6
2001,Dublin City,7013,3133,3909,3104,29.1,26.7
2001,Fingal,3485,1464,2434,1051,30.8,28.5
2001,Dun Laoghaire Rathdown,2334,918,1765,569,32.2,29.6
2001,South Dublin,4219,1836,2614,1605,29.6,27.2
2001,Wicklow,1912,747,1299,613,30.7,28.4
2001,Carlow,731,292,500,231,29.8,27.2
2001,Kildare,3050,1227,2230,820,30.6,28.2
2001,Kilkenny,1115,437,822,293,30.6,28
2001,Laois,851,325,589,262,29.6,26.3
2001,Longford,476,169,349,127,30.5,27.1
2001,Louth,1728,701,1067,661,29.2,26.4
2001,Meath,2235,940,1718,517,31,28.6
2001,Offaly,958,343,662,296,29.8,25.9
2001,Westmeath,1170,459,816,354,30.1,27.8
2001,Wexford,1769,725,1119,650,29.3,26.2
2001,Waterford County,804,319,574,230,30.7,28.4
2001,Waterford City,780,346,443,337,28.6,25.7
2001,Clare,1496,581,1120,376,31.1,28.4
2001,Cork City,1575,690,845,730,28.9,26.4
2001,Cork County,4696,1824,3647,1049,31.3,28.7
2001,Kerry,1662,627,1212,450,30.7,27.8
2001,Limerick City,855,383,377,478,28.1,25.4
2001,Limerick County,1562,635,1229,333,31.1,28.5
2001,North Tipperary,905,332,619,286,30.3,27.5
2001,South Tipperary,1080,399,725,355,30.1,27.2
2001,Tipperary,,,,,,
2001,Galway City,928,426,606,322,30.2,27.8
2001,Leitrim,291,122,234,57,31,28.4
2001,Mayo,1508,531,1192,316,31.1,28
2001,Roscommon,575,213,456,119,31.5,28.6
2001,Sligo,777,294,563,214,31,28.2
2001,Galway County,2037,776,1634,403,31.5,28.8
2001,Cavan,756,282,569,187,30.3,26.8
2001,Donegal,1895,711,1337,558,29.7,26.6
2001,Monaghan,626,233,465,161,30.3,27.7
2001,Outside the ROI Total,,,,,,
2002,ROI Total,60503,24191,41624,18879,30.4,27.8
2002,Dublin City,6976,3246,3808,3168,29.2,27
2002,Fingal,3909,1626,2773,1136,30.9,28.3
2002,Dun Laoghaire Rathdown,2261,859,1730,531,32.5,30.2
2002,South Dublin,4453,1887,2795,1658,29.8,27.4
2002,Wicklow,1905,777,1281,624,30.8,28.5
2002,Carlow,851,335,518,333,29.5,26.5
2002,Kildare,3277,1301,2405,872,30.8,28.5
2002,Kilkenny,1106,406,800,306,31,28.2
2002,Laois,935,335,657,278,30.1,27.2
2002,Longford,545,178,405,140,30.7,27.5
2002,Louth,1683,669,1112,571,29.5,27
2002,Meath,2347,910,1763,584,31.1,28.6
2002,Offaly,1020,392,704,316,30,27.2
2002,Westmeath,1206,431,825,381,30.2,27.6
2002,Wexford,1852,745,1190,662,29.8,27.3
2002,Waterford County,891,308,632,259,31,28.1
2002,Waterford City,783,333,451,332,29,26.4
2002,Clare,1754,675,1325,429,31.1,28.7
2002,Cork City,1574,675,864,710,29.3,26.6
2002,Cork County,5134,2057,3994,1140,31.4,29
2002,Kerry,1746,597,1274,472,30.8,27.9
2002,Limerick City,848,385,385,463,28.1,25.3
2002,Limerick County,1689,693,1277,412,30.8,28.3
2002,North Tipperary,919,341,649,270,30.5,27.9
2002,South Tipperary,1024,394,644,380,29.9,27.2
2002,Tipperary,,,,,,
2002,Galway City,1057,473,708,349,29.9,27.7
2002,Leitrim,355,119,271,84,31.2,28.3
2002,Mayo,1537,551,1186,351,31.1,28.1
2002,Roscommon,609,210,476,133,31.1,28.4
2002,Sligo,757,274,570,187,31.4,28.6
2002,Galway County,2117,743,1703,414,31.5,29
2002,Cavan,807,302,615,192,30.6,27.5
2002,Donegal,1911,707,1355,556,29.8,26.4
2002,Monaghan,665,257,479,186,30,27.1
2002,Outside the ROI Total,,,,,,
2003,ROI Total,61529,24334,42319,19210,30.6,28.2
2003,Dublin City,6834,3193,3806,3028,29.5,27.4
2003,Fingal,4334,1798,3036,1298,30.7,28.7
2003,Dun Laoghaire Rathdown,2400,975,1846,554,32.6,30.3
2003,South Dublin,4525,1873,2884,1641,30,27.8
2003,Wicklow,1911,759,1269,642,31,28.7
2003,Carlow,848,341,545,303,29.8,27.5
2003,Kildare,3272,1322,2410,862,31,28.9
2003,Kilkenny,1138,417,823,315,31.2,28.6
2003,Laois,986,363,725,261,30.4,27.6
2003,Longford,514,174,380,134,30.2,28
2003,Louth,1608,638,1020,588,29.5,27.1
2003,Meath,2614,1002,1941,673,31.3,29.1
2003,Offaly,981,341,661,320,30.4,27.5
2003,Westmeath,1228,414,879,349,30.8,28.1
2003,Wexford,2008,736,1276,732,30,27.2
2003,Waterford County,905,347,644,261,31,28.6
2003,Waterford City,710,288,400,310,29.1,26.6
2003,Clare,1689,682,1212,477,31,28.6
2003,Cork City,1676,716,979,697,29.4,26.6
2003,Cork County,5018,1921,3851,1167,31.5,29.3
2003,Kerry,1689,625,1224,465,30.9,28.3
2003,Limerick City,948,420,454,494,28.5,26.3
2003,Limerick County,1682,654,1264,418,31.2,28.6
2003,North Tipperary,939,339,672,267,30.8,28.4
2003,South Tipperary,1069,406,658,411,29.8,27.3
2003,Tipperary,,,,,,
2003,Galway City,1038,448,702,336,30.3,28.3
2003,Leitrim,352,121,268,84,31.7,29.6
2003,Mayo,1579,438,1202,377,31.3,28.8
2003,Roscommon,623,216,485,138,31.3,28.5
2003,Sligo,765,307,560,205,30.9,28.1
2003,Galway County,2202,765,1784,418,31.9,29.5
2003,Cavan,794,290,584,210,30.5,27.7
2003,Donegal,1988,759,1381,607,30,26.8
2003,Monaghan,662,246,494,168,30.5,27.7
2003,Outside the ROI Total,,,,,,
2004,ROI Total,61972,24269,42174,19798,30.8,28.5
2004,Dublin City,6766,3032,3739,3027,30,28
2004,Fingal,4385,1764,3093,1292,30.9,29.1
2004,Dun Laoghaire Rathdown,2288,951,1683,605,32.6,30.3
2004,South Dublin,4454,1852,2794,1660,30,28
2004,Wicklow,2023,837,1371,652,31.2,29
2004,Carlow,793,297,494,299,30.1,27.5
2004,Kildare,3390,1356,2439,951,31,28.8
2004,Kilkenny,1130,442,812,318,31.3,28.9
2004,Laois,1011,396,706,305,30.7,28.7
2004,Longford,483,145,330,153,30.6,27.8
2004,Louth,1662,624,1012,650,29.9,27.5
2004,Meath,2683,1017,1986,697,31.6,29.3
2004,Offaly,1039,350,693,346,30.4,28.4
2004,Westmeath,1263,432,859,404,30.6,27.9
2004,Wexford,2002,832,1239,763,29.9,27.6
2004,Waterford County,914,343,620,294,30.8,28
2004,Waterford City,717,286,427,290,29.6,27.3
2004,Clare,1644,609,1207,437,31.4,28.8
2004,Cork City,1505,625,827,678,29.4,26.9
2004,Cork County,5284,2061,4070,1214,31.7,29.5
2004,Kerry,1766,668,1259,507,30.9,28.4
2004,Limerick City,790,309,367,423,28.8,26.1
2004,Limerick County,1726,720,1265,461,31.1,28.8
2004,North Tipperary,1006,388,701,305,30.8,28.5
2004,South Tipperary,1083,389,679,404,30.4,28
2004,Tipperary,,,,,,
2004,Galway City,939,354,613,326,30.4,28.3
2004,Leitrim,365,137,286,79,31.6,28.6
2004,Mayo,1608,403,1198,410,31.4,28.6
2004,Roscommon,674,231,527,147,31.7,28.9
2004,Sligo,778,309,551,227,31.2,29
2004,Galway County,2369,915,1868,501,31.9,29.6
2004,Cavan,857,274,672,185,31.2,28.7
2004,Donegal,1909,690,1310,599,30.2,27.1
2004,Monaghan,666,231,477,189,30.5,27
2004,Outside the ROI Total,,,,,,
2005,ROI Total,61372,24634,41871,19501,31,28.7
2005,Dublin City,6527,3041,3546,2981,30.1,28.1
2005,Fingal,4327,1851,3070,1257,31,29.2
2005,Dun Laoghaire Rathdown,2371,939,1771,600,32.8,30.4
2005,South Dublin,4163,1660,2512,1651,30.1,27.7
2005,Wicklow,1937,814,1281,656,31.1,28.7
2005,Carlow,821,333,545,276,30.3,27.8
2005,Kildare,3195,1284,2326,869,31.5,29.2
2005,Kilkenny,1129,450,810,319,31.6,29.3
2005,Laois,928,342,670,258,30.9,28.7
2005,Longford,486,161,337,149,30.6,28
2005,Louth,1622,633,1037,585,30.3,27.9
2005,Meath,2704,1099,1992,712,31.5,29.3
2005,Offaly,1007,362,656,351,30.7,27.9
2005,Westmeath,1255,458,856,399,31,28.3
2005,Wexford,1996,790,1260,736,30.4,28.1
2005,Waterford County,962,354,643,319,31.5,28.9
2005,Waterford City,635,298,317,318,29.5,27.2
2005,Clare,1654,622,1229,425,31.6,29.3
2005,Cork City,1465,638,762,703,29.6,27.1
2005,Cork County,5427,2131,4160,1267,31.9,29.8
2005,Kerry,1729,692,1265,464,31.4,29.1
2005,Limerick City,850,357,371,479,28.8,26.4
2005,Limerick County,1680,667,1263,417,31.4,29.3
2005,North Tipperary,1120,425,780,340,31.2,28.9
2005,South Tipperary,1045,454,690,355,30.6,27.9
2005,Tipperary,,,,,,
2005,Galway City,793,323,521,272,30.7,27.9
2005,Leitrim,367,141,282,85,31.7,28.7
2005,Mayo,1647,563,1285,362,31.9,28.9
2005,Roscommon,723,265,582,141,32.1,30
2005,Sligo,753,288,562,191,31.3,28.6
2005,Galway County,2492,927,1947,545,32.2,30.2
2005,Cavan,858,308,660,198,31.4,28.7
2005,Donegal,1979,700,1368,611,30.4,27.2
2005,Monaghan,725,264,515,210,30.4,27.5
2005,Outside the ROI Total,,,,,,
2006,ROI Total,65425,26741,44028,21397,31.1,28.8
2006,Dublin City,6548,3084,3567,2981,30.4,28.4
2006,Fingal,4777,2000,3318,1459,31.2,29.4
2006,Dun Laoghaire Rathdown,2396,1039,1712,684,33,30.7
2006,South Dublin,4450,1807,2695,1755,30.2,28
2006,Wicklow,2203,951,1477,726,31.4,29.4
2006,Carlow,858,350,546,312,30.2,27.8
2006,Kildare,3482,1387,2487,995,31.3,29.1
2006,Kilkenny,1195,449,839,356,31.5,29.4
2006,Laois,1061,425,730,331,30.4,28.1
2006,Longford,565,223,386,179,30.6,27.9
2006,Louth,1763,693,1067,696,30.4,27.7
2006,Meath,3020,1211,2231,789,31.6,29.5
2006,Offaly,1104,446,748,356,30.6,27.9
2006,Westmeath,1364,547,927,437,30.7,28.1
2006,Wexford,2174,836,1376,798,30.5,27.7
2006,Waterford County,1115,418,728,387,31.3,28.6
2006,Waterford City,631,278,317,314,29.2,26.8
2006,Clare,1748,647,1287,461,31.7,29.3
2006,Cork City,1648,732,881,767,29.9,27.2
2006,Cork County,5726,2286,4331,1395,31.9,29.8
2006,Kerry,1840,723,1304,536,31.5,29
2006,Limerick City,781,354,335,446,28.7,25.8
2006,Limerick County,1972,835,1435,537,31.1,28.8
2006,North Tipperary,1050,396,734,316,31.5,29.2
2006,South Tipperary,1068,426,683,385,30.6,28.1
2006,Tipperary,,,,,,
2006,Galway City,909,373,596,313,30.9,28.3
2006,Leitrim,404,156,309,95,31.2,28.5
2006,Mayo,1662,650,1211,451,31.4,28.8
2006,Roscommon,741,279,565,176,31.7,29.3
2006,Sligo,856,340,586,270,31.3,28.5
2006,Galway County,2570,1031,2015,555,32.1,30
2006,Cavan,1018,383,722,296,30.9,28.4
2006,Donegal,2016,724,1380,636,30.5,27.4
2006,Monaghan,710,262,503,207,31.1,28.5
2006,Outside the ROI Total,,,,,,
2007,ROI Total,71389,29620,47749,23640,31.1,28.8
2007,Dublin City,7330,3584,3940,3390,30.4,28.5
2007,Fingal,5289,2254,3661,1628,31.1,29.3
2007,Dun Laoghaire Rathdown,2637,1111,1984,653,33.3,31.2
2007,South Dublin,4721,1913,2797,1924,30.2,27.9
2007,Wicklow,2391,991,1602,789,31.4,29.3
2007,Carlow,986,405,630,356,30.3,28.1
2007,Kildare,3897,1586,2794,1103,31.5,29.1
2007,Kilkenny,1277,503,929,348,31.6,29.4
2007,Laois,1284,512,868,416,30.4,28
2007,Longford,594,212,417,177,30.9,28.3
2007,Louth,1820,749,1074,746,30.2,27.6
2007,Meath,3506,1463,2486,1020,31.4,29.3
2007,Offaly,1182,502,785,397,30.5,28.2
2007,Westmeath,1400,584,956,444,30.8,28.4
2007,Wexford,2276,918,1347,929,30.4,27.9
2007,Waterford County,1033,417,722,311,31.7,29.5
2007,Waterford City,762,322,407,355,29.2,26.2
2007,Clare,1783,658,1301,482,31.8,29.6
2007,Cork City,1402,646,706,696,29.6,27.3
2007,Cork County,6471,2621,4885,1586,32,29.9
2007,Kerry,2050,810,1462,588,31.6,29.2
2007,Limerick City,867,384,395,472,28.8,26
2007,Limerick County,2093,876,1492,601,31.5,29.6
2007,North Tipperary,1243,495,857,386,31.5,28.8
2007,South Tipperary,1186,482,736,450,30.7,28.3
2007,Tipperary,,,,,,
2007,Galway City,1014,467,670,344,30.3,28.4
2007,Leitrim,481,183,348,133,31.4,28.9
2007,Mayo,1861,755,1346,515,31.4,29
2007,Roscommon,788,287,578,210,31.7,29
2007,Sligo,916,366,618,298,31.3,28.8
2007,Galway County,2788,1053,2161,627,32.2,29.8
2007,Cavan,1091,422,769,322,30.8,27.9
2007,Donegal,2156,773,1460,696,30.7,27.9
2007,Monaghan,814,316,566,248,30.6,28
2007,Outside the ROI Total,,,,,,
2008,ROI Total,75173,31431,50028,25145,31.2,28.9
2008,Dublin City,7672,3748,4180,3492,30.5,28.6
2008,Fingal,5432,2403,3741,1691,31.4,29.5
2008,Dun Laoghaire Rathdown,2731,1213,2058,673,33.3,31.5
2008,South Dublin,4666,1932,2732,1934,30.2,27.8
2008,Wicklow,2499,1050,1664,835,31.6,29.6
2008,Carlow,1085,425,697,388,30.6,28.1
2008,Kildare,3988,1662,2752,1236,31.4,29.3
2008,Kilkenny,1412,552,1014,398,31.7,29.1
2008,Laois,1362,545,907,455,30.5,28.1
2008,Longford,725,244,524,201,30.7,28.5
2008,Louth,1988,790,1206,782,30.4,27.9
2008,Meath,3599,1395,2605,994,31.8,29.3
2008,Offaly,1262,484,853,409,30.7,28.5
2008,Westmeath,1487,608,990,497,30.8,28.4
2008,Wexford,2528,1022,1499,1029,30.5,27.8
2008,Waterford County,1060,402,695,365,31.5,29.1
2008,Waterford City,894,370,468,426,29.6,26.9
2008,Clare,1841,787,1311,530,31.6,29.6
2008,Cork City,1610,731,851,759,30,27.6
2008,Cork County,6800,2756,5081,1719,31.9,29.7
2008,Kerry,2064,818,1413,651,31.6,29.2
2008,Limerick City,935,472,449,486,28.8,26.9
2008,Limerick County,2213,921,1595,618,31.3,29.2
2008,North Tipperary,1257,504,858,399,31.3,28.7
2008,South Tipperary,1241,532,767,474,30.5,28.1
2008,Tipperary,,,,,,
2008,Galway City,1059,500,697,362,30.9,28.8
2008,Leitrim,511,193,385,126,31.5,29.1
2008,Mayo,1892,840,1353,539,31.5,29.1
2008,Roscommon,907,316,693,214,31.9,29.2
2008,Sligo,964,382,665,299,31.4,28.9
2008,Galway County,3088,1174,2350,738,32.1,29.8
2008,Cavan,1265,472,887,378,30.8,28.1
2008,Donegal,2255,849,1472,783,30.7,27.8
2008,Monaghan,881,339,616,265,30.9,28.4
2008,Outside the ROI Total,,,,,,
2009,ROI Total,75554,31843,50302,25252,31.3,29.1
2009,Dublin City,7986,4124,4533,3453,30.8,28.9
2009,Fingal,5511,2315,3837,1674,31.5,29.7
2009,Dun Laoghaire Rathdown,2884,1333,2109,775,33,30.9
2009,South Dublin,4659,1954,2671,1988,30.2,28.1
2009,Wicklow,2463,1026,1618,845,31.5,29.5
2009,Carlow,997,399,591,406,30.6,28.3
2009,Kildare,4012,1711,2766,1246,31.5,29.5
2009,Kilkenny,1421,574,985,436,31.7,29.5
2009,Laois,1403,761,911,492,30.9,29.6
2009,Longford,718,269,474,244,30.4,27.3
2009,Louth,1898,766,1169,729,30.7,28.1
2009,Meath,3517,1339,2559,958,31.8,29.4
2009,Offaly,1263,533,839,424,30.5,28.4
2009,Westmeath,1487,576,1007,480,30.9,28.8
2009,Wexford,2415,921,1421,994,30.5,27.8
2009,Waterford County,1036,389,691,345,31.7,29.2
2009,Waterford City,841,344,479,362,30.1,27.8
2009,Clare,1900,726,1356,544,31.6,28.9
2009,Cork City,1757,821,969,788,30.3,28.2
2009,Cork County,6807,2766,5096,1711,32.1,30
2009,Kerry,2171,865,1509,662,31.5,29.2
2009,Limerick City,879,428,436,443,29.4,27.3
2009,Limerick County,2304,968,1646,658,31.7,29.5
2009,North Tipperary,1243,492,830,413,31.4,28.9
2009,South Tipperary,1354,559,837,517,30.8,28.4
2009,Tipperary,,,,,,
2009,Galway City,1045,488,668,377,30.8,29.2
2009,Leitrim,488,193,365,123,31.8,29.8
2009,Mayo,1827,741,1324,503,31.6,29.1
2009,Roscommon,924,352,693,231,32.1,30.1
2009,Sligo,990,372,677,313,31.4,28.6
2009,Galway County,2935,1151,2233,702,32.5,30.5
2009,Cavan,1233,466,865,368,31.1,28.3
2009,Donegal,2347,839,1538,809,30.9,27.7
2009,Monaghan,839,282,600,239,31.3,28.2
2009,Outside the ROI Total,,,,,,
2010,ROI Total,75174,31078,49802,25372,31.5,29.4
2010,Dublin City,8236,4156,4658,3578,31,29.3
2010,Fingal,5542,2344,3814,1728,31.7,29.9
2010,Dun Laoghaire Rathdown,2828,1275,2104,724,33.2,31.3
2010,South Dublin,4809,1992,2849,1960,30.7,28.7
2010,Wicklow,2554,990,1723,831,32,29.8
2010,Carlow,990,397,636,354,30.8,28.2
2010,Kildare,3994,1650,2744,1250,31.7,29.7
2010,Kilkenny,1456,596,1000,456,31.7,29.4
2010,Laois,1426,663,903,523,30.8,29.2
2010,Longford,680,234,474,206,30.7,28.5
2010,Louth,1967,785,1149,818,30.5,28.2
2010,Meath,3603,1408,2576,1027,31.9,29.9
2010,Offaly,1233,497,803,430,31,28.6
2010,Westmeath,1509,580,993,516,31.1,28.8
2010,Wexford,2290,883,1393,897,30.8,28.5
2010,Waterford County,999,332,669,330,32,29.7
2010,Waterford City,868,374,467,401,30.3,28.4
2010,Clare,1693,651,1177,516,31.8,29.7
2010,Cork City,1644,732,861,783,30.3,28.3
2010,Cork County,6846,2736,5040,1806,32.2,30.1
2010,Kerry,1933,752,1341,592,31.9,29.5
2010,Limerick City,767,323,345,422,29.3,27.1
2010,Limerick County,2339,946,1626,713,31.5,29.3
2010,North Tipperary,1246,506,835,411,31.6,29.1
2010,South Tipperary,1212,513,710,502,30.5,28.4
2010,Tipperary,,,,,,
2010,Galway City,1150,549,758,392,31.3,30.1
2010,Leitrim,475,156,354,121,32.4,30.6
2010,Mayo,1839,750,1334,505,32,29.8
2010,Roscommon,903,349,628,275,31.9,29.3
2010,Sligo,935,346,638,297,31.9,29.4
2010,Galway County,2881,1112,2189,692,32.5,30.4
2010,Cavan,1225,397,873,352,31.4,29
2010,Donegal,2215,782,1512,703,31.2,28.7
2010,Monaghan,887,322,626,261,31.2,28.5
2010,Outside the ROI Total,,,,,,
2011,ROI Total,74033,29210,48942,25091,31.8,29.8
2011,Dublin City,8080,3959,4591,3489,31.2,29.6
2011,Fingal,5562,2300,3742,1820,31.9,30.3
2011,Dun Laoghaire Rathdown,2842,1255,2105,737,33.5,31.8
2011,South Dublin,5047,2001,2929,2118,30.9,28.9
2011,Wicklow,2256,879,1458,798,32,29.9
2011,Carlow,992,354,639,353,30.9,28.3
2011,Kildare,3851,1460,2674,1177,32.1,30.2
2011,Kilkenny,1425,525,996,429,32.1,29.8
2011,Laois,1346,480,855,491,31.1,29
2011,Longford,635,225,426,209,31.5,29.2
2011,Louth,1886,721,1081,805,30.7,28.5
2011,Meath,3527,1322,2526,1001,32.2,30.1
2011,Offaly,1244,424,802,442,30.9,28.6
2011,Westmeath,1389,508,924,465,31.2,29
2011,Wexford,2296,850,1340,956,30.9,28.5
2011,Waterford County,973,340,634,339,32.3,29.8
2011,Waterford City,830,340,461,369,30.8,28.9
2011,Clare,1727,661,1222,505,32.4,30.5
2011,Cork City,1575,707,847,728,30.3,28.8
2011,Cork County,6713,2563,4970,1743,32.6,30.8
2011,Kerry,2001,749,1359,642,32,30
2011,Limerick City,763,336,391,372,29.8,27.4
2011,Limerick County,2296,892,1616,680,32,30
2011,North Tipperary,1193,411,831,362,32.2,30
2011,South Tipperary,1230,444,762,468,31.4,29.2
2011,Tipperary,,,,,,
2011,Galway City,1115,494,783,332,31.9,30.7
2011,Leitrim,461,147,339,122,32.2,30.1
2011,Mayo,1807,671,1315,492,32.1,30.3
2011,Roscommon,866,299,629,237,32.1,29.8
2011,Sligo,927,340,609,318,32.1,30.3
2011,Galway County,2856,1063,2137,719,32.7,30.6
2011,Cavan,1267,417,894,373,31.6,29.2
2011,Donegal,2172,767,1445,727,31.3,29
2011,Monaghan,883,306,610,273,31.6,28.7
2011,Outside the ROI Total,,,,,,
2012,ROI Total,71674,27657,46495,25179,32,30
2012,Dublin City,7894,3796,4392,3502,31.5,30
2012,Fingal,5569,2199,3743,1826,32.2,30.5
2012,Dun Laoghaire Rathdown,2796,1227,2065,731,33.7,32
2012,South Dublin,4928,1905,2841,2087,31,29.2
2012,Wicklow,2243,838,1434,809,32.3,30.2
2012,Carlow,921,353,553,368,31,28.4
2012,Kildare,3645,1403,2412,1233,32.1,30.1
2012,Kilkenny,1388,491,952,436,32.4,30.1
2012,Laois,1276,440,802,474,31.3,29.1
2012,Longford,646,220,422,224,31.3,29.3
2012,Louth,1883,693,1083,800,31,28.5
2012,Meath,3188,1111,2206,982,32.4,30.3
2012,Offaly,1154,415,720,434,31.2,28.9
2012,Westmeath,1447,516,929,518,31.3,29
2012,Wexford,2218,849,1267,951,31.1,28.9
2012,Waterford County,873,317,550,323,32.2,29.9
2012,Waterford City,799,322,402,397,30.7,28.5
2012,Clare,1705,613,1141,564,32.3,30.2
2012,Cork City,1422,664,711,711,30.7,28.9
2012,Cork County,6641,2453,4846,1795,32.8,30.8
2012,Kerry,1936,690,1316,620,32.5,30.4
2012,Limerick City,826,377,361,465,29.9,27.8
2012,Limerick County,2049,766,1430,619,32.3,30.4
2012,North Tipperary,1038,361,682,356,31.9,29.4
2012,South Tipperary,1191,447,737,454,31.5,29
2012,Tipperary,,,,,,
2012,Galway City,1179,500,828,351,31.8,30.2
2012,Leitrim,455,170,337,118,32.5,30.6
2012,Mayo,1753,595,1213,540,32.3,30.3
2012,Roscommon,862,311,619,243,32.6,30.5
2012,Sligo,962,338,633,329,32.1,29.7
2012,Galway County,2720,919,2109,611,33.2,31.3
2012,Cavan,1158,416,780,378,31.5,29.3
2012,Donegal,2068,651,1401,667,31.6,28.7
2012,Monaghan,841,291,578,263,31.6,29.4
2012,Outside the ROI Total,,,,,,
2013,ROI Total,68954,26082,44601,24353,32.2,30.3
2013,Dublin City,7835,3635,4422,3413,31.8,30.5
2013,Fingal,5304,2041,3563,1741,32.4,30.7
2013,Dun Laoghaire Rathdown,2798,1151,2140,658,34,32.4
2013,South Dublin,4526,1708,2657,1869,31.5,29.6
2013,Wicklow,2074,766,1248,826,32.1,30.1
2013,Carlow,873,341,523,350,31.5,29.4
2013,Kildare,3435,1255,2321,1114,32.3,30.2
2013,Kilkenny,1336,472,892,444,32.3,30.2
2013,Laois,1224,394,757,467,31.6,29.2
2013,Longford,615,220,365,250,30.8,28
2013,Louth,1937,687,1136,801,31.4,29.2
2013,Meath,3180,1097,2188,992,32.6,30.4
2013,Offaly,1071,379,669,402,31.4,29.1
2013,Westmeath,1338,514,857,481,31.4,29.6
2013,Wexford,2059,755,1159,900,31.2,29.1
2013,Waterford County,927,320,597,330,32.5,29.9
2013,Waterford City,795,281,409,386,31.2,29.1
2013,Clare,1492,546,1022,470,32.5,30.6
2013,Cork City,1488,636,748,740,30.9,29.5
2013,Cork County,6307,2302,4564,1743,33,31.2
2013,Kerry,1770,628,1208,562,32.5,30.6
2013,Limerick City,843,370,385,458,30,28.2
2013,Limerick County,1912,723,1349,563,32.5,30.9
2013,North Tipperary,1054,355,717,337,32.2,29.9
2013,South Tipperary,1216,454,715,501,31.5,28.9
2013,Tipperary,,,,,,
2013,Galway City,1167,501,783,384,32.3,30.6
2013,Leitrim,458,162,347,111,33,31.6
2013,Mayo,1693,592,1162,531,32.3,29.7
2013,Roscommon,845,275,587,258,32.5,30.5
2013,Sligo,882,320,561,321,32.2,29.8
2013,Galway County,2567,902,1959,608,33.4,31.5
2013,Cavan,1123,366,763,360,32.1,29.6
2013,Donegal,1953,667,1236,717,31.7,29.3
2013,Monaghan,857,267,592,265,31.9,29.5
2013,Outside the ROI Total,,,,,,
2014,ROI Total,67295,25470,42906,24389,32.4,30.5
2014,Dublin City,7774,3716,4405,3369,32,30.8
2014,Fingal,5124,1978,3423,1701,32.7,31
2014,Dun Laoghaire Rathdown,2826,1221,2133,693,34.1,32.7
2014,South Dublin,4547,1671,2690,1857,31.7,29.8
2014,Wicklow,2027,759,1238,789,32.5,30.4
2014,Carlow,927,331,557,370,31.5,29.5
2014,Kildare,3444,1287,2260,1184,32.6,30.7
2014,Kilkenny,1315,485,892,423,32.5,30.3
2014,Laois,1185,410,714,471,31.9,29.7
2014,Longford,571,173,357,214,31.2,28.9
2014,Louth,1819,663,1013,806,31.7,29.4
2014,Meath,2982,1002,2000,982,32.7,30.7
2014,Offaly,1141,397,693,448,31.8,29.8
2014,Westmeath,1360,493,847,513,31.9,30.1
2014,Wexford,2096,752,1136,960,31.3,28.7
2014,Waterford County,850,294,529,321,32.6,30.4
2014,Waterford City,768,306,409,359,31.5,29.5
2014,Clare,1459,515,973,486,32.7,31.1
2014,Cork City,1531,668,814,717,31.3,29.5
2014,Cork County,6013,2097,4259,1754,33.2,31.4
2014,Kerry,1719,626,1093,626,32.8,31
2014,Limerick City,878,334,387,491,30.6,28.5
2014,Limerick County,1846,642,1257,589,32.6,30.8
2014,North Tipperary,954,302,640,314,32.2,29.6
2014,South Tipperary,1148,428,634,514,31.4,29.4
2014,Tipperary,,,,,,
2014,Galway City,1120,490,752,368,32.3,31.1
2014,Leitrim,399,138,283,116,32.7,30.3
2014,Mayo,1650,623,1150,500,32.6,30.8
2014,Roscommon,802,245,567,235,32.7,30.6
2014,Sligo,817,270,539,278,32.6,30.7
2014,Galway County,2491,902,1845,646,33.1,31.2
2014,Cavan,1051,360,722,329,31.9,29.5
2014,Donegal,1842,619,1139,703,32,29.6
2014,Monaghan,819,273,556,263,32.1,29.9
2014,Outside the ROI Total,,,,,,
2015,ROI Total,65536,24716,41594,23942,32.5,30.6
2015,Dublin City,7514,3569,4314,3200,32.3,31
2015,Fingal,4893,1800,3240,1653,32.9,31.2
2015,Dun Laoghaire Rathdown,2776,1179,2096,680,34.2,32.6
2015,South Dublin,4306,1585,2530,1776,31.9,29.9
2015,Wicklow,1999,714,1223,776,32.8,30.9
2015,Carlow,805,275,470,335,31.8,29.7
2015,Kildare,3335,1231,2239,1096,32.7,30.9
